标题,评分,评论内容
5.0 out of 5 starsPerfect for snacks,5.0 out of 5 stars,"Purchased to take on vacation. Worked perfectly for car snacks, and late night hotel snacks. Great variety and value."
5.0 out of 5 starsGreat taste and value,5.0 out of 5 stars,Tasty candy bars
5.0 out of 5 starsNone were melted or smashed,5.0 out of 5 stars,"Great product! None of the chocolate bars were melted, or smashed, and came with an ice pack to prevent melting. They taste great!"
5.0 out of 5 starsa nice treat for yourself,5.0 out of 5 stars,The candy bars were fresh and all were full size so I finally got my favorite candy bars for a buck each.
5.0 out of 5 starsDelectable,5.0 out of 5 stars,Perfection well worth the money
4.0 out of 5 starsArrived rock solid,4.0 out of 5 stars,Great variety pack but a lot of them did arrive rock solid and also appear to have melted previously as their shape isn’t as intended.
5.0 out of 5 starsGreat price,5.0 out of 5 stars,Great price
5.0 out of 5 starsGreat price for this combo,5.0 out of 5 stars,Bought this to sell a concession stand. It’s a great price for this combination of candy. Everything fresh.
5.0 out of 5 starsFresh and yummy!,5.0 out of 5 stars,"Delivered very quickly, and very fresh. I ordered it April 23rd, and the expiration date printed on box shows October 2025."
5.0 out of 5 starsDesk snacks for work office,5.0 out of 5 stars,"Did buy this for my office for snacks and i really like different flavors, like snickers and milky way. Thanks amazon for fast shipping."
5.0 out of 5 starsMy chocolate vice!,5.0 out of 5 stars,"Candy bars arrived as described, yummy!"
4.0 out of 5 starsGREAT FOR BRIBING YOUR KIDS,4.0 out of 5 stars,"As far as product quality, this product was just as expected. A box full of candy bars to bribe the kids to do chores. The con was when the box arrived someone had sliced the box open and four candy bars were missing. I mean i get it, i was once a fat kid in the candy shop. Amazon made it right by refunding the item. Hope you enjoyed your snack and did a few chores at least ;)"
5.0 out of 5 starsVariety,5.0 out of 5 stars,Great variety of choices made it easier to pass out to the kids
5.0 out of 5 starsFrescos y sabrosos,5.0 out of 5 stars,"Me encantaron, genuinos dulces, wao"
4.0 out of 5 starsMissing 1,4.0 out of 5 stars,I only gave it 4 stars because it only had 17 in it .. honestly mistake I'm sure .. but otherwise we are happy
4.0 out of 5 starsOk,4.0 out of 5 stars,Ok
5.0 out of 5 starsGood,5.0 out of 5 stars,Good
5.0 out of 5 starsClassics delivered in Protective Box = TY,5.0 out of 5 stars,"Bars are not smashed and come in protective box, which = TY!And you can't go wrong with Snickers, Twix, Milky Way and 3 Muskees, right?will and have bought again - TY"
5.0 out of 5 starsGreat quality product!,5.0 out of 5 stars,Great quality product!
5.0 out of 5 starsCandy bars,5.0 out of 5 stars,This is a great item for the price in my opinion.
5.0 out of 5 starsMe gusta,5.0 out of 5 stars,
5.0 out of 5 starsexcellent,5.0 out of 5 stars,excellent
5.0 out of 5 starsAwesome deal,5.0 out of 5 stars,Such a good deal
"4.0 out of 5 starswhen I purchase product, I would like to get it?",4.0 out of 5 stars,"I did not share with anyone, Product was finger licken good."
5.0 out of 5 starsGreat purchase,5.0 out of 5 stars,"Will buy again,  thank you,"
5.0 out of 5 starsgreat buy,5.0 out of 5 stars,Very pleased with this purchase.
5.0 out of 5 starsYummy,5.0 out of 5 stars,Love the diabetes bars
